STATE,longitude,latitude,wind_speed (m/s),distance_to_seashore (km),elevation (m),temperature (C),humidity (%),air_density (kg/m^3),,
HIMACHAL PRADESH,77.08751867,32.86795763,3.4550197,1238.721224,4306,21,65,1.12,,
HIMACHAL PRADESH,77.63454439,32.66572283,6.1695137,1236.80858,5429,21,65,1.12,,
HIMACHAL PRADESH,77.67328003,32.68269117,10.7287445,1239.968087,5305,21,65,1.12,,
HIMACHAL PRADESH,77.92849932,32.35452777,1.4563359,1216.572827,3799,21,65,1.12,,
HIMACHAL PRADESH,76.53231494,32.73067116,4.2107625,1207.285462,3020,21,65,1.12,,
HIMACHAL PRADESH,78.14907777,32.09384865,1.9572316,1199.630173,3738,21,65,1.12,,
HIMACHAL PRADESH,77.76608664,32.40016023,3.021696,1214.796171,4793,21,65,1.12,,
HIMACHAL PRADESH,76.90332481,32.96002504,4.2596564,1242.47192,4605,21,65,1.12,,
HIMACHAL PRADESH,77.9114329,32.50367522,6.350485,1230.903394,5690,21,65,1.12,,
HIMACHAL PRADESH,77.68296101,32.24507742,5.6190004,1195.901411,5663,21,65,1.12,,
HIMACHAL PRADESH,77.65495034,32.38801369,5.9920764,1209.312751,5107,21,65,1.12,,
HIMACHAL PRADESH,77.53596999,32.79469506,11.828902,1246.42494,5663,21,65,1.12,,
HIMACHAL PRADESH,77.72839587,32.24059436,6.672413,1197.210391,5266,21,65,1.12,,
HIMACHAL PRADESH,77.62847093,32.48497363,3.833486,1218.169063,4844,21,65,1.12,,
HIMACHAL PRADESH,78.18801035,32.4116135,5.4662027,1232.828955,5272,21,65,1.12,,
HIMACHAL PRADESH,77.88936815,31.77745032,6.046467,1157.281749,5195,21,65,1.12,,
HIMACHAL PRADESH,77.37978622,32.68488165,5.88682,1229.624616,5152,21,65,1.12,,
HIMACHAL PRADESH,77.29413087,32.74978905,4.211954,1233.351226,4790,21,65,1.12,,
HIMACHAL PRADESH,77.85254135,31.96982154,3.7011204,1174.948317,4434,21,65,1.12,,
HIMACHAL PRADESH,77.78489872,32.82721507,2.6809382,1258.828522,4482,21,65,1.12,,
HIMACHAL PRADESH,78.4299561,32.25946452,3.6092744,1228.043208,5102,21,65,1.12,,
HIMACHAL PRADESH,78.07493069,32.43964423,6.3189507,1230.994772,5548,21,65,1.12,,
HIMACHAL PRADESH,76.96681179,32.39077682,5.5417743,1185.172913,4292,21,65,1.12,,
HIMACHAL PRADESH,77.74699271,32.18670637,5.5472164,1192.500546,5350,21,65,1.12,,
HIMACHAL PRADESH,77.82199823,32.70238135,5.7522373,1247.542261,5319,21,65,1.12,,
HIMACHAL PRADESH,78.02625778,32.55380652,4.5160995,1240.484561,5211,21,65,1.12,,
HIMACHAL PRADESH,77.6684329,32.84856995,5.9097013,1256.715596,5166,21,65,1.12,,
HIMACHAL PRADESH,77.40742919,32.16694075,3.5067065,1177.549363,4836,21,65,1.12,,
HIMACHAL PRADESH,77.74386474,32.16625202,5.1942496,1190.315753,5482,21,65,1.12,,
HIMACHAL PRADESH,77.63768616,32.31328357,8.122008,1201.074565,4963,21,65,1.12,,
HIMACHAL PRADESH,77.86950083,31.74547875,2.700179,1153.269888,4406,21,65,1.12,,
HIMACHAL PRADESH,78.27946372,32.03324811,2.1365929,1199.237579,3583,21,65,1.12,,
HIMACHAL PRADESH,78.6083456,32.04167816,4.6782885,1214.697977,3338,21,65,1.12,,
HIMACHAL PRADESH,76.67418427,32.78351267,5.4973474,1217.007686,4923,21,65,1.12,,
HIMACHAL PRADESH,76.94813449,32.63563285,4.574095,1210.034739,4469,21,65,1.12,,
HIMACHAL PRADESH,76.99296502,32.79467126,5.745074,1228.046591,5344,21,65,1.12,,
HIMACHAL PRADESH,78.01079249,32.54167442,5.9736433,1238.650601,5176,21,65,1.12,,
HIMACHAL PRADESH,77.13431112,32.66019981,4.270608,1218.683979,5109,21,65,1.12,,
HIMACHAL PRADESH,76.75936573,32.91418496,3.9423044,1233.285772,4838,21,65,1.12,,
HIMACHAL PRADESH,78.2875292,32.07083697,2.548937,1203.289519,4594,21,65,1.12,,
HIMACHAL PRADESH,77.05990223,32.73038662,7.84045,1223.514996,5588,21,65,1.12,,
HIMACHAL PRADESH,77.5631293,32.70373711,8.26199,1238.085569,5635,21,65,1.12,,
HIMACHAL PRADESH,78.34759499,32.43557534,6.581706,1241.888312,5691,21,65,1.12,,
HIMACHAL PRADESH,78.23002326,31.84915569,4.62084,1178.972185,4776,21,65,1.12,,
HIMACHAL PRADESH,77.7534135,32.09625984,7.16935,1183.643968,5473,21,65,1.12,,
HIMACHAL PRADESH,76.7277487,32.74784407,4.224966,1214.865815,4212,21,65,1.12,,
HIMACHAL PRADESH,77.52820299,32.71832295,7.2796206,1238.319772,5577,21,65,1.12,,
HIMACHAL PRADESH,78.56236861,32.05144911,2.7995656,1213.562079,3717,21,65,1.12,,
HIMACHAL PRADESH,77.89827308,31.70715188,4.482934,1150.668962,4685,21,65,1.12,,
HIMACHAL PRADESH,76.99220236,32.52374099,3.1248538,1199.820943,3538,21,65,1.12,,
HIMACHAL PRADESH,77.7618558,32.6870759,5.225279,1243.717724,5205,21,65,1.12,,
HIMACHAL PRADESH,77.2029137,32.71054094,4.200668,1226.197857,4769,21,65,1.12,,
HIMACHAL PRADESH,77.91939719,32.03255652,3.4536755,1183.954823,3918,21,65,1.12,,
HIMACHAL PRADESH,78.28804854,32.06321768,5.054401,1202.561556,4598,21,65,1.12,,
HIMACHAL PRADESH,77.13759752,32.76768956,3.2430844,1229.940837,3753,21,65,1.12,,
HIMACHAL PRADESH,78.28850215,32.11644341,6.4571257,1207.826335,5631,21,65,1.12,,
HIMACHAL PRADESH,77.55903095,32.37081459,7.3656187,1203.956975,5411,21,65,1.12,,
HIMACHAL PRADESH,76.56539442,32.70280052,4.4780507,1205.30596,4661,21,65,1.12,,
HIMACHAL PRADESH,77.80321019,32.66746154,4.595841,1243.287919,5333,21,65,1.12,,
HIMACHAL PRADESH,78.03594546,31.84025755,5.3876185,1169.703712,4460,21,65,1.12,,
HIMACHAL PRADESH,76.76060641,32.7100629,4.2657385,1211.901213,4872,21,65,1.12,,
HIMACHAL PRADESH,77.46360488,32.67231563,3.6123712,1231.293082,4714,21,65,1.12,,
HIMACHAL PRADESH,77.62185414,32.62084943,4.5608325,1231.764292,5417,21,65,1.12,,
HIMACHAL PRADESH,77.83199014,31.89347203,7.0415864,1166.474593,5445,21,65,1.12,,
HIMACHAL PRADESH,76.63764,32.80724729,3.5566716,1218.424755,4463,21,65,1.12,,
HIMACHAL PRADESH,77.44079191,32.23170989,4.6361623,1185.389927,4497,21,65,1.12,,
HIMACHAL PRADESH,77.85632288,31.72672194,3.804923,1150.852474,4851,21,65,1.12,,
HIMACHAL PRADESH,77.49296884,32.62193078,3.3517916,1227.179584,4419,21,65,1.12,,
HIMACHAL PRADESH,77.98085323,31.71055793,2.7975562,1154.513266,3745,21,65,1.12,,
HIMACHAL PRADESH,76.81967865,32.93093415,4.8088036,1236.863267,5194,21,65,1.12,,
HIMACHAL PRADESH,76.92962335,32.97181142,4.1948028,1244.518957,4461,21,65,1.12,,
HIMACHAL PRADESH,78.44073162,32.09326366,3.8195212,1212.203996,4505,21,65,1.12,,
HIMACHAL PRADESH,76.87390942,33.11153673,8.406659,1257.453901,5792,21,65,1.12,,
HIMACHAL PRADESH,77.72892742,32.0784365,6.534354,1180.880136,5414,21,65,1.12,,
HIMACHAL PRADESH,77.14837968,32.69493839,4.282854,1222.753847,4710,21,65,1.12,,
HIMACHAL PRADESH,76.99899977,32.5133279,2.185079,1198.962073,3289,21,65,1.12,,
HIMACHAL PRADESH,76.8835356,32.79135016,5.512595,1224.210002,5160,21,65,1.12,,
HIMACHAL PRADESH,77.95425758,31.84571364,3.4605165,1166.789114,4258,21,65,1.12,,
HIMACHAL PRADESH,78.04744324,31.82444452,3.581334,1168.629061,4541,21,65,1.12,,
HIMACHAL PRADESH,78.17174865,31.87611719,6.040217,1179.083447,5126,21,65,1.12,,
HIMACHAL PRADESH,77.73822288,32.50805098,4.414473,1224.652781,4570,21,65,1.12,,
HIMACHAL PRADESH,76.8188003,32.80233924,6.8645697,1223.355408,5431,21,65,1.12,,
HIMACHAL PRADESH,77.44373035,32.77804537,9.941676,1241.448515,5391,21,65,1.12,,
HIMACHAL PRADESH,77.88871378,32.25622858,7.808464,1205.111884,5712,21,65,1.12,,
HIMACHAL PRADESH,78.35639524,32.40216168,4.3765516,1238.954355,5254,21,65,1.12,,
HIMACHAL PRADESH,78.08688011,32.51778585,4.6796737,1239.30068,5184,21,65,1.12,,
HIMACHAL PRADESH,77.56428358,32.4731672,2.5117874,1214.579718,4593,21,65,1.12,,
HIMACHAL PRADESH,77.80614143,32.51264108,3.7797225,1227.717012,5059,21,65,1.12,,
HIMACHAL PRADESH,78.29700653,31.8775612,3.4530256,1184.709625,4181,21,65,1.12,,
HIMACHAL PRADESH,77.94117524,31.71460951,2.5388288,1153.224416,3776,21,65,1.12,,
HIMACHAL PRADESH,77.75045019,32.31599897,6.9988136,1205.684178,5550,21,65,1.12,,
HIMACHAL PRADESH,78.43832448,31.88992867,3.1203697,1192.226607,4551,21,65,1.12,,
HIMACHAL PRADESH,77.64199909,32.27442195,4.422704,1197.298782,5086,21,65,1.12,,
HIMACHAL PRADESH,77.667401,32.30754205,6.7337203,1201.626748,5381,21,65,1.12,,
HIMACHAL PRADESH,78.13976111,31.87309279,8.264215,1177.401188,5124,21,65,1.12,,
HIMACHAL PRADESH,78.02198969,32.35247312,2.2575278,1220.125274,4323,21,65,1.12,,
HIMACHAL PRADESH,77.32173468,32.63947695,1.6429013,1222.925753,4572,21,65,1.12,,
HIMACHAL PRADESH,78.24666005,32.5442326,5.779624,1248.461962,5720,21,65,1.12,,
HIMACHAL PRADESH,77.58027422,32.5322241,3.4782426,1221.192383,4941,21,65,1.12,,
HIMACHAL PRADESH,77.04813591,32.69277613,5.663019,1219.220873,5358,21,65,1.12,,
HIMACHAL PRADESH,77.22285815,32.34742938,2.958711,1189.403284,3362,21,65,1.12,,
HIMACHAL PRADESH,78.22939506,32.38984547,6.9968014,1232.383367,5643,21,65,1.12,,
HIMACHAL PRADESH,77.67078905,32.28900834,8.103558,1199.87924,5661,21,65,1.12,,
HIMACHAL PRADESH,78.02308037,31.95435363,4.954439,1180.473919,4141,21,65,1.12,,
HIMACHAL PRADESH,76.63291015,32.59913011,5.4017897,1196.391373,5084,21,65,1.12,,
HIMACHAL PRADESH,77.0547449,32.5320389,7.052754,1202.746227,4473,21,65,1.12,,
HIMACHAL PRADESH,77.09411197,32.81781853,3.2947028,1233.720547,4092,21,65,1.12,,
HIMACHAL PRADESH,77.86832713,32.68222108,7.3162274,1247.265597,5286,21,65,1.12,,
HIMACHAL PRADESH,77.88779184,32.38677946,3.5004342,1218.200028,5091,21,65,1.12,,
HIMACHAL PRADESH,77.57501142,32.15024337,2.4795291,1182.150672,4324,21,65,1.12,,
HIMACHAL PRADESH,77.71546991,32.14444009,3.387749,1187.001501,5206,21,65,1.12,,
HIMACHAL PRADESH,77.81205835,32.48516283,8.360475,1225.166284,5873,21,65,1.12,,
HIMACHAL PRADESH,77.89464708,32.51574019,4.8406205,1231.462526,5360,21,65,1.12,,
HIMACHAL PRADESH,78.08620144,31.88839759,5.5849113,1176.612651,4749,21,65,1.12,,
HIMACHAL PRADESH,76.83719766,33.11930189,4.3243785,1257.164916,5135,21,65,1.12,,
HIMACHAL PRADESH,77.54419704,32.82983059,7.571441,1250.321219,5345,21,65,1.12,,
HIMACHAL PRADESH,77.89191007,32.60028153,8.043799,1239.888786,5724,21,65,1.12,,
HIMACHAL PRADESH,78.50261848,32.18608429,3.5828004,1224.033168,4935,21,65,1.12,,
HIMACHAL PRADESH,77.18838611,32.55462076,5.637853,1209.581145,5331,21,65,1.12,,
HIMACHAL PRADESH,77.6655474,32.41746202,5.967163,1212.70333,4666,21,65,1.12,,
HIMACHAL PRADESH,76.51214488,32.78662002,4.1407533,1212.613276,2855,21,65,1.12,,
HIMACHAL PRADESH,77.87449557,32.17393945,4.540397,1196.282971,4764,21,65,1.12,,
HIMACHAL PRADESH,77.25783232,32.3535682,5.4384084,1191.263646,4382,21,65,1.12,,
HIMACHAL PRADESH,78.19289164,32.5131994,4.666916,1243.155455,4989,21,65,1.12,,
HIMACHAL PRADESH,77.73913499,32.64229938,5.2963595,1238.314127,5335,21,65,1.12,,
HIMACHAL PRADESH,78.29945506,32.40128375,4.498847,1236.457259,4750,21,65,1.12,,
PUNJAB,75.20201087,31.76835947,2.84995,1044.132668,242,21,65,1.12,,
PUNJAB,75.0185625,31.80253403,2.8689017,1040.073387,238,21,65,1.12,,
PUNJAB,75.47213383,31.611585,2.9158928,1040.230325,231,21,65,1.12,,
PUNJAB,75.10297193,31.91894024,2.7048388,1055.1491,247,21,65,1.12,,
PUNJAB,75.141071,32.04356246,2.6008465,1069.192416,243,21,65,1.12,,
PUNJAB,75.72019784,32.32842435,2.353281,1121.571051,451,21,65,1.12,,
PUNJAB,75.19792029,31.69693158,2.9505417,1036.849793,241,21,65,1.12,,
PUNJAB,75.66423029,32.13868378,2.2614067,1100.44958,280,21,65,1.12,,
PUNJAB,75.35573343,32.10532358,2.544001,1084.089415,251,21,65,1.12,,
PUNJAB,75.42027695,31.7870556,2.7673612,1055.228561,254,21,65,1.12,,
PUNJAB,75.14405665,31.75771858,2.880526,1040.674493,239,21,65,1.12,,
PUNJAB,75.4197578,32.03065398,2.428346,1079.325768,261,21,65,1.12,,
PUNJAB,75.55114628,31.86635424,2.35184,1068.725066,239,21,65,1.12,,
PUNJAB,75.4473428,32.02117561,2.5292687,1079.548601,266,21,65,1.12,,
PUNJAB,75.2601283,31.80708297,2.7669017,1050.411012,250,21,65,1.12,,
PUNJAB,75.13959394,32.0424607,2.5961754,1069.022736,245,21,65,1.12,,
PUNJAB,75.48452882,31.69456367,2.8489518,1048.920388,235,21,65,1.12,,
PUNJAB,75.02400697,31.97379696,2.7129781,1057.531761,236,21,65,1.12,,
PUNJAB,75.71407235,32.22667612,2.0648687,1111.275751,403,21,65,1.12,,
PUNJAB,75.09587487,31.96422248,2.683328,1059.414169,240,21,65,1.12,,
PUNJAB,75.4629479,31.66926748,2.9818084,1045.486288,248,21,65,1.12,,
PUNJAB,75.64791296,32.2212108,2.0422013,1107.885047,297,21,65,1.12,,
PUNJAB,75.45360626,32.27052885,2.4333632,1104.600681,269,21,65,1.12,,
PUNJAB,75.14870232,31.98672821,2.633669,1063.79064,249,21,65,1.12,,
PUNJAB,75.73206384,32.27343132,2.3546538,1116.659913,365,21,65,1.12,,
PUNJAB,75.28990478,31.81231013,2.7847795,1052.179174,248,21,65,1.12,,
PUNJAB,75.37363812,31.6653605,2.9787335,1041.203837,245,21,65,1.12,,
PUNJAB,75.64411905,32.10883063,2.4597728,1096.637355,257,21,65,1.12,,
PUNJAB,75.27714239,31.68101031,2.9176247,1038.609961,242,21,65,1.12,,
PUNJAB,75.50002761,32.23329616,2.2890658,1102.822432,271,21,65,1.12,,
PUNJAB,75.43704067,31.70290158,2.937234,1047.659319,251,21,65,1.12,,
PUNJAB,75.46075938,31.61918397,2.9329202,1040.472459,228,21,65,1.12,,
PUNJAB,75.65745347,32.32074414,2.453228,1118.130884,353,21,65,1.12,,
PUNJAB,75.32747895,32.11511492,2.5926218,1083.904287,253,21,65,1.12,,
PUNJAB,75.35528574,31.61744906,2.984553,1035.68307,242,21,65,1.12,,
PUNJAB,75.56174885,32.13187389,2.4917805,1095.370645,276,21,65,1.12,,
PUNJAB,75.29081401,31.87302772,2.6699646,1058.254309,251,21,65,1.12,,
